Algorithm,Array Size,Average Time (ns)
BubbleSortUntilNoChange,100,13154
BubbleSortWhileNeeded,100,9530
QuickSortGPT,100,237375
SelectionSortGPT,100,234220
BubbleSortUntilNoChange,1000,62045
BubbleSortWhileNeeded,1000,61299
QuickSortGPT,1000,5267610
SelectionSortGPT,1000,1515560
BubbleSortUntilNoChange,5000,159675
BubbleSortWhileNeeded,5000,159419
QuickSortGPT,5000,70492415
SelectionSortGPT,5000,14318210
BubbleSortUntilNoChange,10000,185934
BubbleSortWhileNeeded,10000,177350
QuickSortGPT,10000,288589519
SelectionSortGPT,10000,56524094
BubbleSortUntilNoChange,20000,34704
BubbleSortWhileNeeded,20000,42114
